model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
gpt-4.1-nano	6.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4o	7.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1	9.9	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5.1	10.1	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-mini	10.9	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
o4-mini	25.1	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5	87.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-nano	6.1	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4o	7.4	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1	10.6	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-mini	12.6	2	3	5	0.6	0.4	0.6	0.24	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5.1	14.8	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
o4-mini	35.2	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5	88.1	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-nano	7.0	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1	8.8	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4o	8.9	1	4	5	0.8	0.2	0.8	0.16000000000000003	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-mini	11.0	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5.1	14.3	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
o4-mini	34.8	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5	122.5	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-nano	5.7	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4o	8.5	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1	9.7	3	2	5	0.4	0.6	0.4	0.24	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-mini	12.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	function_based_random_selector_SRC-001_20260224_224743
gpt-5.1	15.0	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
o4-mini	28.0	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5	101.9	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-nano	6.2	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1	7.5	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4o	7.5	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-mini	10.0	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5.1	12.6	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
o4-mini	42.0	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5	105.9	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-nano	8.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-mini	13.8	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1	17.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5.1	24.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
