Service Directory | Pylint Score
-----------------|--------------
azure-purview-scanning | 8.50
azure-purview-administration | 5.59
azure-synapse-spark | 8.45
azure-synapse-monitoring | 8.50
azure-synapse-managedprivateendpoints | 7.88
azure-synapse-accesscontrol | 8.87
corehttp | Error
azure-mgmt-core | N/A
azure-core-experimental | 9.95
azure-core | 9.98
azure-storage-queue | 9.99
azure-storage-file-share | 9.99
azure-storage-file-datalake | 9.77
azure-storage-blob | 9.99
azure-communication-sms | 9.97
azure-eventhub-checkpointstoreblob-aio | 9.91
azure-eventhub | 9.97
azure-keyvault-secrets | 10.00
azure-keyvault-keys | 10.00
azure-keyvault-certificates | 10.00
azure-identity | 9.98
azure-schemaregistry-avroencoder | N/A
azure-schemaregistry | 9.96
azure-servicebus | 9.98
azure-monitor-ingestion | 10.00
azure-appconfiguration | 9.99
azure-eventgrid | 9.95
azure-iot-deviceupdate | N/A
azure-security-attestation | N/A
azure-agrifood-farming | N/A
azure-ai-ml | N/A
azure-ai-projects | 9.99
azure-ai-vision-face | N/A
azure-ai-inference | 10.00
azure-search-documents | 9.99
azure-mixedreality-remoterendering | N/A
azure-communication-phonenumbers | 9.84
azure-defender-easm | N/A
azure-ai-contentsafety | N/A
azure-confidentialledger | 10.00
azure-communication-email | 9.97
azure-communication-chat | 9.57
azure-mixedreality-authentication | 9.06
azure-digitaltwins-core | 8.24
